ability,able
abrasive,abrasive
absence,absent
absurdity,absurd
abundance,abundant
accident,accidental
accomplishment,accomplished
accuracy,accurate
acrimony,acrimonious
activism,active
activist,active
activity,active
adequacy,adequate
adjournment,adjournments
adjudication,adjudications
adjudicator,adjudicate
adjuration,adjure
adjuster,adjust
adjustment,adjustments
adventurism,reckless
adversary,adversarial
advisory,advisory
aggression,aggressive
aggressiveness,aggressive
agility,agile
alchemist,expert
alien,alien
allergy,allergic
allure,alluring
alternative,alternative
amateurism,amateurish
ambiguity,ambiguous
ambition,ambitious
ambivalence,ambivalent
anathema,abhorrent
anger,angry
anguish,anguished
animosity,affectionate
anonymity,anonymous
antecedent,antecedent
anxiety,anxious
appropriateness,appropriate
ardor,enthusiastic
armistice,friendly
arrogance,arrogant
artist,artistic
artistry,artistic
assistant,junior
astringency,astringent
attractiveness,attractive
audacity,audacious
austerity,austere
authenticity,authentic
autonomy,autonomous
availability,available
average,average
awareness,aware
bankruptcy,bankrupt
base,inappropriate
beauty,beautiful
benchmark,standard
better,better
bill,appropriate
bitterness,bitter
boilerplate,standard
boon,boon
brutality,brutal
buff,expert
bullishness,bullish
buoyancy,buoyant
bureaucracy,bureaucratic
calamity,calamitous
calm,calm
calmness,calm
cancer,cancerous
candidacy,suitable
candidate,suitable
capability,capable
captive,captive
cataclysm,cataclysmic
catastrophe,catastrophic
cautiousness,cautious
celebrity,famous
center,central
centerpiece,significant
central,central
certainty,certain
chaos,chaotic
charisma,charismatic
charm,charming
chauvinism,chauvinistic
chief,chief
chutzpah,audacious
civility,civil
clarity,clear
classicism,classic
closeness,close
colorlessness,colorless
comity,peaceful
commonplace,commonplace
compassion,compassionate
compatability,compatible
compatibility,compatible
competence,competent
competitiveness,competitive
complacency,complacent
complexity,complex
comprehensiveness,comprehensive
conceit,conceited
concision,concise
concomitant,concomitant
condition,prerequisite
confidentiality,confidential
confluence,confluent
consciousness,conscious
consequence,consequent
conservatism,conservative
conservative,conservative
consistency,consistent
constitutionality,constitutional
consuming,consuming
contemporary,contemporary
contrary,contrary
controversy,controversial
convenience,convenient
convexity,convex
core,significant
corrosion,corroded
courage,courageous
courtesy,courteous
coward,cowardly
craze,crazy
creativity,creative
credibility,credible
credit-worthiness,credit-worthy
criminality,criminal
crunch,short
cry,distant
culprit,guilty
curiosity,curious
cynicism,cynical
czar,expert
danger,dangerous
debacle,catastrophic
debasement,corrupt
decadence,decadent
defect,defective
deficiency,deficient
delinquency,delinquent
delinquent,delinquent
dementia,demented
demonstrativeness,demonstrative
density,dense
dereliction,derelict
despondency,despondent
detriment,detrimental
diathesis,susceptible
difficulty,difficult
dignity,dignified
diligence,diligent
diplomacy,diplomatic
disability,unable
disadvantage,disadvantageous
disaster,disasterous
discomfort,uncomfortable
dishonesty,dishonest
disloyalty,disloyal
disposable,disposable
dissident,dissident
distance,distant
distinctiveness,distinctive
diversity,diverse
divisiveness,divisive
doomsayer,pessimistic
doubter,pessimistic
drama,dramatic
drawback,disadvantageous
dryness,dry
duplicity,duplicitous
durability,durable
dynamic,dynamic
dynamism,dynamic
eagerness,eager
ease,easy
edginess,edgy
effectiveness,effective
efficiency,efficient
elder,old
elitist,elitist
eloquence,eloquent
enthusiasm,enthusiastic
enthusiast,enthusiastic
entirety,entire
envy,envious
equivalency,equivalent
equivalent,equivalent
euphoria,euphoric
exclusiveness,exclusive
exclusivity,exclusive
expert,expert
extensiveness,extensive
extinction,extinct
exuberance,exuberant
face,surface
fairness,fair
fallacy,fallacious
fame,famous
familiarity,familiar
fanatic,fanatic
fatality,fatal
feasibility,feasible
femininity,feminine
fertility,fertile
fickleness,fickle
fiction,fictional
firmness,firm
fit,angry
fitness,fit
fixture,fixed
flagship,significant
flatness,flat
fledgling,fledgling
fledgling,new
fledgling,inexperienced
flexibility,flexible
flightiness,flighty
foldability,foldable
fondness,fond
forcefulness,forceful
foreigner,foreign
formality,formal
fragility,fragile
frailty,frail
frenzy,frenzied
frequency,frequent
friction,affectionate
friendliness,friendly
friendship,friendly
frugality,frugal
functionality,functional
fundamental,fundamental
fundamentalism,fundamental
furor,furious
furor,crazy
fury,furious
futility,futile
game,game
game,important
glamour,glamorous
glee,gleeful
gloom,gloomy
glory,glorious
goddess,expert
good,good
goodness,good
grandmaster,expert
gravity,grave
greatness,great
greed,greedy
guilt,guilty
guru,expert
happiness,happy
hardship,difficult
harmony,compatible
harshness,harsh
haste,hasty
hauteur,haughty
hazard,hazardous
headache,difficult
healthiness,healthy
heat,hot
heavy-handedness,heavy-handed
honesty,honest
horror,horrible
hospitality,hospitable
hostility,hostile
hub,central
humility,humble
hypocrisy,hypocritical
ideal,ideal
idiocy,idiotic
ignoramus,ignorant
ignorance,        :NOM-TYPE ((ADJ-NOM
illegality,illegal
illiteracy,illiterate
illogic,illogical
illusion,illusory
immaturity,immature
immorality,immoral
immunity,immune
impatience,impatient
imperative,imperative
imperfection,imperfect
import,important
importance,important
improbability,improbable
impulse,impulsive
inability,unable
inaccuracy,inaccurate
inadequacy,inadequate
inadvertence,inadvertent
inattention,inattentive
incompatibility,incompatible
incompetence,incompetent
incompetency,incompetent
incongruity,incongruous
inconsistency,inconsistent
inconvenience,inconvenient
indebtedness,indebted
indecisiveness,indecisive
independence,independent
indifference,indifferent
indirectness,indirect
indispensability,indispensable
ineffectiveness,ineffective
inefficiency,inefficient
ineptitude,inept
inequality,unequal
inequity,unequal
inevitability,inevitable
inexperience,inexperienced
infertility,infertile
infidelity,unfaithful
injustice,unjust
innocence,innocent
insensitivity,insensitive
insider,inside
insolvency,insolvent
instability,unstable
insubordination,insubordinate
insurgent,insurgent
intelligence,intelligent
intensity,intense
intimacy,intimate
inventiveness,inventive
inverse,inverse
ire,irate
irony,ironic
irregularity,irregular
jealousy,jealous
joy,joyful
jumpiness,jumpy
junction,adjoin
key,crucial
kind,kind
knack,expert
laggard,inadequate
landmark,important
legality,legal
legitimacy,legitimate
leniency,lenient
lesser,less
lethargy,lethargic
liability,liable
licentiousness,licentious
like,like
likelihood,likely
likeness,alike
line,active
liquidity,liquid
logic,logical
loyalty,loyal
luxury,luxurious
magnate,expert
mainstay,significant
